Season,Short program,Free skating,Exhibition gala/ ice show
2004–05,*Spartacus*,*From Russia with Love*,N/A
2005–06,N/A,*From Russia with Love*,
2006–07,"""Amazonic"" / ""Totentanz""","""Summer Storm""",
2007–08,"""Sing, Sing, Sing""",*The Firebird*,"""Amazonic"" / ""Totentanz"""
2008–09,"""Bolero""",*Rhapsody on a Theme of Paganini*,"""Change"""
2009–10,*Mission: Impossible II*,*Rhapsody on a Theme of Paganini*,"""Change"""
,,,"""Vertigo"""
2010–11,"""White Legend""",*Zigeunerweisen*,"""Vertigo"""
,,,"""Change"""
2011–12,Étude in D-sharp minor,*Romeo + Juliet* (Soundtrack),"""Vertigo"""
,,,"""Somebody to Love"""
,,,"""White Legend"""
2012–13,"""Parisienne Walkways""",*Notre-Dame de Paris*,"""Hello, I Love You"""
,,,"""花になれ"" (Hana ni Nare)"
,,,Étude in D-sharp minor
,,,"""True Love"""
2013–14,"""Parisienne Walkways""",*Romeo and Juliet*,Étude in D-sharp minor
,,,*Notre-Dame de Paris*
,,,"""Story"""
,,,"""花になれ"" (Hana ni Nare)"
,,,"""White Legend"""
,,,*Romeo + Juliet* (Soundtrack)
,,,"""言えないよ"" (Ienai yo)"
,,,"""Change"""
,,,"""The Final Time Traveler"""
2014–15,Ballade No. 1,*The Phantom of the Opera*,"""花は咲く"" (Hana wa Saku)"
,,,"""The Final Time Traveler"""
,,,"""Parisienne Walkways"""
,,,"""Vertigo"""
,,,"""Believe"""
,,,"""Hello, I Love You"""
,,,"""Requiem of Heaven and Earth"""
2015–16,Ballade No. 1,*Seimei*,"""Requiem of Heaven and Earth"""
,,,"""The Final Time Traveler"""
2016–17,"""Let's Go Crazy""",*Hope and Legacy*,"""Notte Stellata (The Swan)"""
,,,Ballade No. 1
2017–18,Ballade No. 1,*Seimei*,"""Notte Stellata (The Swan)"""
,,,*Continues With Wings* medleys
,,,"""Wings of Words"""
,,,*Hope and Legacy*
,,,"""春よ、来い"" (Haru yo, Koi)"""
2018–19,"""*Otoñal*"" (Autumnal)",*Origin*,"""春よ、来い"" (Haru yo, Koi)"""
,,,"""Masquerade"""
,,,"""Crystal Memories"""
2019–20,"""*Otoñal*"" (Autumnal)",*Origin*,"""Parisienne Walkways"""
,,,"""春よ、来い"" (Haru yo, Koi)"
,,,"""Notte Stellata (The Swan)"""
,,,*Seimei*
,Ballade No. 1,*Seimei*,*Hope and Legacy*
2020–21,"""Let Me Entertain You""",*Heaven and Earth* (天と地と),"""春よ、来い"" (Haru yo, Koi)"""
,,,"""花は咲く"" (Hana wa Saku)"""
,,,"""Let's Go Crazy"""
2021–22,*Introduction and Rondo Capriccioso*,*Heaven and Earth* (天と地と),"""Masquerade"""
,,,"""Let Me Entertain You"""
,,,"""春よ、来い"" (Haru yo, Koi)"""